                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     64,                 1.0606,                0.79702,                 1.0889,                0.80674,                0.70346,                0.78792,                0.55869,                0.94667,                0.63915,                 1.0046,               0.003862,               0.003862,               0.003862
                     65,                 1.0534,                0.79055,                 1.0876,                0.80794,                0.70328,                0.78841,                0.55922,                 0.9455,                0.63757,                 1.0037,               0.003763,               0.003763,               0.003763
                     66,                 1.0541,                0.78931,                 1.0897,                0.80675,                0.70367,                 0.7889,                 0.5598,                0.94427,                 0.6361,                  1.003,               0.003664,               0.003664,               0.003664
                     67,                 1.0526,                0.78517,                 1.0876,                0.80566,                0.70288,                 0.7896,                0.56066,                0.94297,                0.63492,                 1.0021,               0.003565,               0.003565,               0.003565
                     68,                 1.0523,                0.78458,                 1.0877,                0.80799,                0.70282,                0.79027,                0.56136,                0.94153,                0.63385,                 1.0012,               0.003466,               0.003466,               0.003466
                     69,                 1.0494,                0.77992,                 1.0843,                0.80831,                0.70498,                0.79075,                0.56197,                0.94007,                0.63279,                 1.0004,               0.003367,               0.003367,               0.003367
                     70,                  1.044,                0.77523,                 1.0836,                   0.81,                0.70408,                0.79125,                0.56252,                0.93902,                0.63133,                0.99965,               0.003268,               0.003268,               0.003268
                     71,                 1.0434,                0.77297,                  1.081,                0.81457,                0.70328,                0.79222,                0.56359,                0.93789,                0.62968,                0.99881,               0.003169,               0.003169,               0.003169
                     72,                 1.0391,                0.77164,                 1.0796,                0.81488,                0.70416,                0.79287,                0.56412,                0.93687,                0.62832,                 0.9982,                0.00307,                0.00307,                0.00307
                     73,                 1.0374,                0.76708,                 1.0764,                0.81405,                0.70568,                0.79376,                0.56498,                0.93579,                0.62683,                0.99742,               0.002971,               0.002971,               0.002971
                     74,                 1.0313,                0.76243,                 1.0761,                0.81463,                0.70627,                0.79378,                0.56526,                0.93456,                0.62522,                0.99658,               0.002872,               0.002872,               0.002872
                     75,                 1.0315,                0.75647,                 1.0724,                0.81249,                0.70953,                0.79435,                0.56598,                0.93328,                 0.6235,                0.99575,               0.002773,               0.002773,               0.002773
                     76,                 1.0248,                 0.7517,                 1.0718,                0.81265,                   0.71,                0.79533,                0.56657,                0.93212,                0.62162,                0.99507,               0.002674,               0.002674,               0.002674
                     77,                 1.0282,                0.74883,                  1.073,                0.81213,                0.71149,                0.79602,                0.56754,                0.93103,                0.62027,                0.99438,               0.002575,               0.002575,               0.002575
                     78,                 1.0202,                0.74332,                 1.0671,                0.81093,                0.71254,                 0.7964,                0.56791,                0.93019,                0.61856,                0.99407,               0.002476,               0.002476,               0.002476
                     79,                 1.0189,                0.74448,                 1.0684,                0.81249,                0.71215,                0.79697,                0.56852,                0.92932,                0.61682,                0.99354,               0.002377,               0.002377,               0.002377
